administracja (f)/administration
kwiat (m)/flower
laboratorium (n)/lab
lada (f)/counter
ładunek (m)/load
łańcuch (m)/chain
łapać (n)/catch
lato (n)/summer
łatwość (f)/ease
ława przysięgłych (f)/jury
ławka (f)/bench
łazienka (f)/bathroom
lekarz (m)/doctor
lekcja (f)/lesson
liczba (f)/number
lider (m)/leader
liga (f)/league
limit (m)/limit
lina (f)/rope
linia (f)/line
linia lotnicza (f)/airline
link (m)/link
lista (f)/list
litera (f)/letter
literatura (f)/literature
lód (m)/ice
lodówka (f)/refrigerator
łódź (f)/boat
lokalizacja (f)/location
lot (m)/flight
lotnisko (n)/airport
łowienie (n)/tackle
łóżko (n)/bed
ludzie (m)/people
luka (f)/gap
lunch (m)/lunch
lustro (n)/mirror
magazyn (m)/magazine
maksimum (n)/maximum
malowanie (n)/painting
małżeństwo (n)/marriage
mama (f)/mom
mapa (f)/map
marketing (m)/marketing
marynarka (f)/jacket
maszyna (f)/machine
matematyka (f)/math
materiał (m)/material
matka (f)/mother
mąż (m)/husband
mecz (m)/match
media (pl)/media
medium (n)/medium
medycyna (f)/medicine
melodia (f)/tune
menadżer (m)/manager
menu (n)/menu
metal (m)/metal
metoda (f)/method
miasto (n)/city, town
miejsce (n)/place, spot
miesiąc (m)/month
mięsień (m)/muscle
mięso (n)/meat
mieszanka (f)/mixture
mieszkanie (n)/housing
mieszkaniec (m)/resident
miłość (f)/love
minimum (n)/minimum
minuta (f)/minute
miód (m)/honey
misja (f)/mission
miska (f)/bowl
mistrz (m)/master, champion
mistrzostwa (pl)/championship
mleko (n)/milk
młodość (f)/youth
mnóstwo (n)/plenty
moc (f)/power
model (m)/model
moment (m)/moment
monitor (m)/monitor
morze (n)/sea
most (m)/bridge
mówca (m)/speaker
mózg (m)/brain
możliwość (f)/possibility
muzyka (f)/music
myśl (f)/thought
mysz (f)/mouse
na bok (n)/aside
nacisk (m)/emphasis
nadzieja (f)/hope
nagły wypadek (m)/emergency
nagranie (n)/recording
nagroda (f)/prize, award
napięcie (n)/tension
naród (m)/nation
narodziny (pl)/birth
narzędzie (n)/implement, tool
nastrój (m)/mood
natura (f)/nature
nauczanie (n)/teaching
nauczyciel (m)/teacher
nauka (f)/study, science
nawyk (m)/habit
nazwa (f)/name
negocjacje (pl)/negotiation
nerw (m)/nerve
nic (n)/nothing
niebieski (m)/blue
niebo (n)/sky
niepokój (m)/anxiety
niespodzianka (f)/surprise
niewidomy (m)/blind
niezależność (f)/independence
noc (f)/night
noga (f)/leg
nos (m)/nose
noszenie (n)/carry
nóż (m)/knife
nuta (f)/note
obcy (m)/stranger
obecność (f)/presence
obiad (m)/dinner
obietnica (f)/promise
objętość (f)/volume
obowiązek (m)/duty
obóz (m)/camp
obraz (m)/picture, image
obroża (f)/collar
obszar (m)/area
ochrona (f)/protection
oddech (m)/breath
odjazd (m)/departure
odkrycie (n)/finding
odległość (f)/distance
odniesienie (n)/reference
odpowiedź (f)/answer, response
odpowiedzialność (f)/responsibility
odwaga (f)/courage
oferta (f)/bid
oficer (m)/officer
ogień (m)/fire
ogłoszenie (n)/ad
ogród (m)/garden
ojciec (m)/father
okazja (f)/opportunity, occasion
okno (n)/window
oko (n)/eye
okres (m)/period
olej (m)/oil
opcja (f)/option
operacja (f)/operation, surgery
opieka (f)/care
opinia (f)/feedback, opinion
opis (m)/description
opłata (f)/fee
opowieść (f)/tale
oprogramowanie (n)/software
organizacja (f)/organization
organizacja charytatywna (f)/charity
osąd (m)/judgment
osoba (f)/person
osobowość (f)/personality
ostrzeżenie (n)/warning
oświadczenie (n)/statement
oszczędności (pl)/savings
otoczenie (n)/setting
otwarcie (n)/opening
owad (m)/insect
owoc (m)/fruit
pacjent (m)/patient
paczka (f)/pack, package
palec (m)/finger
palec u nogi (m)/toe
paliwo (n)/fuel
pamięć (f)/memory
pan (m)/sir
pani (f)/lady
panika (f)/panic
papier (m)/paper
papieros (m)/cigarette
para (f)/pair, couple
park (m)/park
parking (m)/parking
partner (m)/partner
pasażer (m)/passenger
pasek (m)/belt
pasja (f)/passion
patyk (m)/stick
pauza (f)/pause
pędzel (m)/brush
pęknięcie (n)/crack
pensja (f)/salary
percepcja (f)/perception
peron (m)/platform
personel (m)/staff
perspektywa (f)/perspective
pewność siebie (f)/confidence
pianino (n)/piano
piasek (m)/sand
piec (m)/bake
piekarnik (m)/oven
piekło (n)/hell
pielęgniarka (f)/nurse
pieniądze (pl)/money
pierś (f)/breast
pierścień (m)/ring
pies (m)/dog
piłka (f)/ball
piłka nożna (f)/football
piosenka (f)/song
pisanie (n)/writing
pisarz (m)/writer
piwo (n)/beer
pizza (f)/pizza
plan (m)/plan
plastik (m)/plastic
płaszcz (m)/coat
płatność (f)/payment
plaża (f)/beach
plecy (pl)/back
plik (m)/file
pływanie (n)/swimming
początek (m)/beginning
poczta (f)/mail
podatek (m)/tax
podczas (m)/while
podekscytowanie (n)/excitement
podkreślenie (n)/highlight
podłoga (f)/floor
podpis (m)/signature
podstawa (f)/basis
podwórko (n)/yard
poeta (m)/poet
poezja (f)/poetry
pogoda (f)/weather
pogrzeb (m)/funeral
pojazd (m)/vehicle
pojęcie (n)/concept
pokój (m)/peace, room
połączenie (n)/connection
pole (n)/field
policja (f)/police
policzek (m)/cheek
polityka (f)/policy, politics
północ (f)/north, midnight
połowa (f)/half
południe (n)/south
pomarańcza (f)/orange
pomiar (m)/measurement
pomoc (f)/assistance, assist
pomysł (m)/idea
popołudnie (n)/afternoon
poprawa (f)/improvement
populacja (f)/population
popyt (m)/demand
pora roku (f)/season
poranek (m)/morning
porażka (f)/failure
porównanie (n)/comparison
porozumienie (n)/agreement
posiadanie (n)/possession
posiadłość (f)/estate
posiłek (m)/meal
postać (f)/character
postawa (f)/attitude
postęp (m)/progress
powieść (f)/novel
powietrze (n)/air
powitanie (n)/welcome
powód (m)/reason
poziom (m)/level
pozwolenie (n)/permission
pozycja (f)/position
pożyczka (f)/loan
praca (f)/job, work
praca domowa (f)/homework
pracodawca (m)/employer
pracownik (m)/worker, employee
pragnienie (n)/desire
praktyka (f)/practice
prawda (f)/truth
prawnik (m)/lawyer
prawo (n)/law
prędkość (f)/speed
preferencja (f)/preference
premia (f)/bonus
prezent (m)/gift
prezentacja (f)/presentation
prezydent (m)/president
priorytet (m)/priority
próba (f)/attempt
próbka (f)/sample
problem (m)/issue, problem
procedura (f)/procedure
procent (m)/percentage
proces (m)/process
producent (m)/manufacturer
produkt (m)/product
profesor (m)/professor
profil (m)/profile
program (m)/program
projekt (m)/project, design
projektant (m)/designer
promocja (f)/promotion
propozycja (f)/proposal
prośba (f)/request
prysznic (m)/shower
przechowywanie (n)/storage
przedmiot (m)/object, item
przejście (n)/passage, transition
przełącznik (m)/switch
przemówienie (n)/speech
przemysł (m)/industry
przepis (m)/recipe
przestrzeń (f)/space
przewodnictwo (n)/guidance
przewodnik (m)/guide
przód (m)/front
przychód (m)/revenue
przycisk (m)/button
przyczyna (f)/cause
przygotowanie (n)/preparation
przyjaciel (m)/friend
przyjazd (m)/arrival
przyjaźń (f)/friendship
przyjemność (f)/pleasure
przykład (m)/example
przypadek (m)/case
przyszłość (f)/future
przywództwo (n)/leadership
psychologia (f)/psychology
ptak (m)/bird
pudełko (n)/box
punkt (m)/point
pusta przestrzeń (f)/blank
pytanie (n)/question
rabat (m)/discount
rachunek (m)/bill
rada (f)/advice
radio (n)/radio
rak (m)/cancer
rama (f)/frame
ramię (n)/arm, shoulder
reakcja (f)/reaction
recenzja (f)/review
recepcja (f)/reception
ręcznik (m)/towel
redaktor (m)/editor
refleksja (f)/reflection
region (m)/region
reguła (f)/rule
rejestr (m)/register
ręka (f)/hand
rękawiczka (f)/glove
reklama (f)/advertising
rekomendacja (f)/recommendation
rekord (m)/record
relacja (f)/relation
republika (f)/republic
reputacja (f)/reputation
restauracja (f)/restaurant
rewolucja (f)/revolution
robak (m)/bug
rodzaj (m)/kind, type
rodzic (m)/parent
rodzina (f)/family
róg (m)/corner
rok (m)/year
rola (f)/role
rolnik (m)/farmer
roślina (f)/plant
rower (m)/bicycle, bike
rozdanie (n)/resolution
rozdział (m)/chapter
rozmiar (m)/size
rozmowa (f)/conversation
różnica (f)/difference
różnorodność (f)/variety
rozpoznanie (n)/recognition
rozrywka (f)/entertainment
rozszerzenie (n)/extension
rozważenie (n)/consideration
rozwiązanie (n)/solution
rozwój (m)/development
ruch uliczny (m)/traffic
ruina (f)/ruin
rutyna (f)/routine
ryba (f)/fish
rynek (m)/market
rysunek (m)/drawing
ryż (m)/rice
ryzyko (n)/risk
rząd (m)/government, row
rzecz (f)/stuff, thing
rzeczywistość (f)/reality
rzeka (f)/river
rzemiosło (n)/craft
sala (f)/hall
sala lekcyjna (f)/classroom
sałatka (f)/salad
saldo (n)/balance
samochód (m)/car
samolot (m)/plane
satysfakcja (f)/satisfaction
scena (f)/scene
schemat (m)/scheme
schronienie (n)/shelter
ściana (f)/wall
ścieżka (f)/path
sędzia (m)/judge
sekcja (f)/section
sekretarka (f)/secretary
seks (m)/sex
sektor (m)/sector
sen (m)/dream
serce (n)/heart
seria (f)/series
sesja (f)/session
sieć (f)/web, net
siedzenie (n)/seat
siła (f)/force, strength
silnik (m)/motor, engine
siostra (f)/sister
skała (f)/rock
skala (f)/scale
skarga (f)/complaint
skarpetka (f)/sock
sklep (m)/store, shop
sklep spożywczy (m)/grocery
skóra (f)/skin, leather
skrzydło (n)/wing
skupienie (n)/focus
słabość (f)/weakness
słońce (n)/sun
słowo (n)/word
ślub (m)/wedding
słuch (m)/hearing
smak (m)/taste
śmieci (pl)/trash, garbage
śmierć (f)/death
śmietana (f)/cream
śniadanie (n)/breakfast
śnieg (m)/snow
sok (m)/juice
sól (f)/salt
specjalista (m)/specialist
śpiewak (m)/singer
spódnica (f)/skirt
społeczeństwo (n)/society
społeczność (f)/community
sport (m)/sport
sposób (m)/manner
spotkanie (n)/meeting
sprawa (f)/matter, affair
spray (m)/spray
sprzedaż (f)/sale
sprzęt (m)/equipment
srebro (n)/silver
średnia (f)/average
środowisko (n)/environment
śruba (f)/screw
stacja (f)/station
stajnia (f)/stable
stan (m)/state, condition
standard (m)/standard
statek (m)/ship
status (m)/status
staw (m)/joint
stek (m)/steak
stół (m)/table
stopa (f)/foot
stopień (m)/degree, grade
stowarzyszenie (n)/association
strach (m)/fear
strategia (f)/strategy
strefa (f)/zone
stres (m)/stress
strona (f)/page, side
struktura (f)/structure
struna (f)/string
strzał (m)/shot
student (m)/student
studio (n)/studio
styl (m)/style
substancja (f)/substance
sugestia (f)/suggestion
sukces (m)/success
sukienka (f)/dress
supermarket (m)/supermarket
świadek (m)/witness
świadomość (f)/awareness
świat (m)/world
światło (n)/light
świeca (f)/candle
sygnał (m)/signal
syn (m)/son
sypialnia (f)/bedroom
system (m)/system
sytuacja (f)/situation
szacunek (m)/respect
szafa (f)/closet
szafka (f)/cabinet
szansa (f)/chance
szczegół (m)/detail
szczęście (n)/luck
szczyt (m)/peak, top
szef (m)/boss
szkic (m)/draft
szkło (n)/glass
szkoda (f)/harm
szkoła (f)/school
szkolenie (n)/training
szok (m)/shock
szpilka (f)/pin
szpital (m)/hospital
sztuczka (f)/trick
sztuka (f)/art
szuflada (f)/drawer
szyja (f)/neck
tablica (f)/board
talerz (m)/plate
tata (m)/dad
technologia (f)/technology
tekst (m)/text
telefon (m)/telephone, phone
telewizja (f)/television
temat (m)/topic, theme
temperatura (f)/temperature
tempo (n)/pace
tenis (m)/tennis
teoria (f)/theory
termin (m)/term
test (m)/test
tło (n)/background
tłuszcz (m)/fat
ton (m)/tone
tor (m)/track
torba (f)/bag
tradycja (f)/tradition
transport (m)/transportation
trawa (f)/grass
trener (m)/trainer, coach
trudność (f)/difficulty
tryb (m)/mode
tubylczy (m/f)/native
turysta (m)/tourist
twarz (f)/face
tydzień (m)/week
tytuł (m)/title
ubezpieczenie (n)/insurance
ubrania (pl)/clothes
ucho (n)/ear
uczucie (n)/feeling
udar (m)/stroke
udział (m)/share
ugryzienie (n)/bite
ulga (f)/relief
ulica (f)/street
umiejętność (f)/skill
umowa (f)/contract
umówione spotkanie (n)/appointment
umysł (m)/mind
unia (f)/union
uniwersytet (m)/university
urodziny (pl)/birthday
urządzenie (n)/device
urzędnik (m)/clerk
usługa (f)/service
usta (pl)/mouth
uszkodzenie (n)/damage
utrata (f)/loss
uwaga (f)/attention
użytkownik (m)/user
waga (f)/weight
wakacje (pl)/holiday, vacation
walka (f)/fight
waluta (f)/currency
warga (f)/lip
wariacja (f)/variation
warstwa (f)/layer
wartość (f)/value
warzywo (n)/vegetable
wędkowanie (n)/fishing
weekend (m)/weekend
wejście (n)/entrance
wersja (f)/version
wiadomość (f)/news, message
wiatr (m)/wind
wideo (n)/video
widok (m)/view
widownia (f)/audience
wieczór (m)/evening
wiedza (f)/knowledge
wiek (m)/age
wiersz (m)/poem
wieś (f)/village
wieża (f)/tower
wina (f)/fault, blame
winda (f)/elevator
wino (n)/wine
wirus (m)/virus
witryna (f)/site
wkład (m)/contribution
właściciel (m)/owner
własność (f)/property
włosy (pl)/hair
wnętrze (n)/inside
wniosek (m)/conclusion
woda (f)/water
wojna (f)/war
wolność (f)/freedom
wpis (m)/entry, post
wpływ (m)/impact, influence
wprowadzenie (n)/introduction
wrażenie (n)/impression
wschód (m)/east
wskazanie (n)/indication
wskaźnik (m)/rate
wskazówka (f)/clue, tip
współczucie (n)/sympathy
współczynnik (m)/ratio
współpracownik (m)/associate
wstyd (m)/shame
wujek (m)/uncle
wybór (m)/choice, selection
wybory (pl)/election
wybrzeże (n)/coast
wycieczka (f)/tour, trip
wydajność (f)/efficiency
wydarzenie (n)/event
wygląd (m)/appearance
wyjaśnienie (n)/explanation
wyjście (n)/exit
wykład (m)/lecture
wykres (m)/chart
wymaganie (n)/requirement
wymiana (f)/replacement, exchange
wymiar (m)/dimension
wynajem (m)/rent
wynik (m)/result, outcome
wyobraźnia (f)/imagination
wypadek (m)/accident
wyrażenie (n)/expression
wyścig (m)/race
wysiłek (m)/effort
wysokość (f)/height
wyspa (f)/island
występ (m)/performance
wywiad (m)/interview
wyzwanie (n)/challenge
wzór (m)/pattern
wzrost (m)/growth
ząb (m)/tooth
zabawa (f)/fun
zachód (m)/west
zadanie (n)/task, assignment
żagiel (m)/sail
zainteresowanie (n)/interest
zakład (m)/bet
zakres (m)/extent, range
zakręt (m)/bend
zakupy (pl)/shopping
zaleta (f)/advantage
załoga (f)/crew
założenie (n)/assumption
zamek (m)/lock
zamieszanie (n)/confusion
zanieczyszczenie (n)/pollution
zapas (m)/stock
żart (m)/joke
zarządzanie (n)/management
zasada (f)/principle
zasób (m)/resource
zatrudnienie (n)/employment
zaufanie (n)/trust
zauważenie (n)/notice
zawód (m)/profession
zawodnik (m)/player
zbiornik (m)/tank
zdanie (n)/sentence
zdjęcie (n)/photo
zdolność (f)/ability
zdrowie (n)/health
zegar (m)/clock
żelazo (n)/iron
zespół (m)/band
zewnątrz (n)/outside
ziemia (f)/land, earth
ziemniak (m)/potato
zima (f)/winter
złość (f)/spite, anger
złoto (n)/gold
zły (m)/bad
zmysł (m)/sense
znaczenie (n)/importance, significance
znak (m)/sign, mark
zobowiązanie (n)/obligation
żołądek (m)/stomach
żona (f)/wife
źródło (n)/source
zrozumienie (n)/understanding
zupa (f)/soup
związek (m)/relationship
zwierzę (n)/animal
zwycięzca (m)/winner
życie (n)/life, living
zysk (m)/profit
